,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[],0.007826616263463194,-0.010360783931742229,0.06833393896115343,0.04015116789364905,-0.02453890508780844,0.16917475074361185,-0.015813340208945433,0.011079876056759306,0.08554128085948494,0.06755036546093249,0.01938875232738822,0.06205953710272745,0.12727021265327526,0.10571443357903773,0.0,0.0
[1],0.0,0.0,0.0006349206349206348,0.0,0.0,0.0,3.000000000000001e-05,0.0,0.0034874603174603184,0.0,0.0,0.0,0.14032842050928473,0.0030158730158730165,0.0,0.0
"[1, 12]",0.0,-0.002844444444444444,-0.0009523809523809524,0.0,0.0,0.0,-0.0018952380952380952,0.0,-0.00015873015873015927,0.0,-0.00015873015873015927,-0.0006349206349206348,0.0003174603174603174,0.0,0.0,0.00806123441307093
"[1, 12, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[5],-0.006279324587742396,-0.03574898257124365,-0.0046910949860420655,0.02959740002892075,-0.03356264988615254,-0.025140836987706517,-0.014273499714989285,0.002250265716422581,0.062366855870674455,0.048003715823136575,0.031585703912057866,0.02655493199696361,0.08050470409307811,0.14499596427915895,0.0,0.0
"[5, 3]",0.0,0.0,0.0,0.00015873015873015927,0.0,-0.0004761904761904756,0.0,-0.00015873015873015927,0.0,0.0,0.0,0.0009523809523809524,0.10868182510346737,0.0022222222222222227,0.0,0.0019047619047619048
"[5, 3, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 3, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007936507936507942,0.0,0.0,0.0,0.11332799542807899
"[5, 1, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13]",-0.004846206886910449,-0.17227180237264084,-0.15389767989492434,0.001033674247584694,-0.01292170011423811,-0.0994894930844184,-0.08026770937100425,-0.02519521849438726,-9.603270906945e-05,0.0,-0.031129558392359136,-0.023741116137514482,-0.013468606860103479,-0.014200524534527453,-0.01820274592835216,-0.02187350985786544
"[5, 13, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 10]",0.0,0.0,0.0,-0.00015873015873015816,-0.0003174603174603174,-0.00047777777777777727,0.0,0.0,0.04159561722919268,0.0,0.0,0.0,0.0,0.0009523809523809524,0.0,0.0006349206349206348
"[5, 10, 5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
